About,Director,Writers,category,duration,movie_type,number_of_vote,rating,recommendation,title
"
                    With his debts mounting and angry collectors closing in, a fast-talking New York City jeweler risks everything in hope of staying afloat and alive.
            ",Benny Safdie,"Ronald Bronstein,Josh Safdie,1 more credit",Crime,"
                        2h 15min
                    ",Movie,"167,486",7.5,"Once Upon a Time... in Hollywood,Knives Out,Mad Max: Fury Road,Jojo Rabbit,Parasite,Joker,The Irishman,Midsommar,1917,The Lighthouse,Avengers: Endgame,Forrest Gump",Uncut Gems 
"
                    A ranching family in Montana faces off against others encroaching on their land.
            ",John Linson,"Kevin Costner,Luke Grimes,Kelly Reilly,See full cast & crew",Drama,"
                        1h
                    ",Serie,"16,145",8.4,"Longmire,Animal Kingdom,Hatfields & McCoys,The Son,Justified,Hell on Wheels,City on a Hill,Warrior,Ray Donovan,Billions,Snowfall,Godfather of Harlem",Yellowstone             
"
                    A veteran Detective Chief Inspector and his young Sergeant investigate murders around the regional community of Midsomer County.
            ",Caroline Graham,"John Nettles,Jane Wymark,Barry Jackson,See full cast & crew",Crime,"
                        1h 30min
                    ",Serie,"21,750",7.7,"Father Brown,Inspector Lewis,Vera,Inspector Morse,Death in Paradise,Marple,Rosemary & Thyme,Poirot,Endeavour,Foyle's War,Grantchester,A Touch of Frost",Midsomer Murders             
"
                    Story of a young ultra-Orthodox Jewish woman who flees her arranged marriage and religious community to start a new life abroad.
            ",Anna Winger,"Shira Haas,Amit Rahav,Jeff Wilbusch,See full cast & crew",Drama,"
                        3h 33min
                    ",Movie,"36,910",8.1,"Unbelievable,Caliphate,Sex Education,The Handmaid's Tale,The Crown,Self Made: Inspired by the Life of Madam C.J. Walker,When They See Us,After Life,Chernobyl,One of Us,You,Big Little Lies",Unorthodox             
"
                    A modern update finds the famous sleuth and his doctor partner solving crime in 21st century London.
            ",Mark Gatiss,"Benedict Cumberbatch,Martin Freeman,Una Stubbs,See full cast & crew",Crime,"
                        1h 28min
                    ",Serie,"763,712",9.1,"Game of Thrones,Black Mirror,Stranger Things,Chernobyl,Friends,Breaking Bad,Peaky Blinders,Narcos,Vikings,Westworld,Dark,True Detective",Sherlock             
"
                    Follows the political rivalries and romance of Queen Elizabeth II's reign and the events that shaped the second half of the twentieth century.
            ",Peter Morgan,"Claire Foy,Matt Smith,Olivia Colman,See full cast & crew",Drama,"
                        58min
                    ",Serie,"112,825",8.7,"Downton Abbey,Big Little Lies,House of Cards,The Handmaid's Tale,The Marvelous Mrs. Maisel,Mad Men,Black Mirror,House,Mindhunter,Chernobyl,Fleabag,Stranger Things",The Crown             
"
                    Privileged teens living on the Upper East Side of New York can hide no secret from the ruthless blogger who is always watching.
            ",Stephanie Savage,"Blake Lively,Leighton Meester,Penn Badgley,See full cast & crew",Drama,"
                        42min
                    ",Serie,"147,000",7.4,"Pretty Little Liars,The Vampire Diaries,Gilmore Girls,The O.C.,One Tree Hill,90210,You,Teen Wolf,The Originals,Gilmore Girls: A Year in the Life,Sex and the City,Revenge",Gossip Girl             
"
                    A costal town known for its legend of once being home to mermaids is turned upside down when a mysterious girl appears and begins wreaking havoc.
            ",Eric Wald,"Alex Roe,Eline Powell,Fola Evans-Akingbola,See full cast & crew",Drama,"
                        1h
                    ",Serie,"10,471",7.0,"Tidelands,A Discovery of Witches,Legacies,Roswell, New Mexico,Midnight, Texas,The Gifted,The Order,Shadowhunters,The Outpost,The Passage,Witches of East End,The Originals",Siren             
"
                    The further adventures in time and space of the alien adventurer known as the Doctor and their companions from planet Earth.
            ",Sydney Newman,"Jodie Whittaker,Peter Capaldi,Pearl Mackie,See full cast & crew",Adventure,"
                        45min
                    ",Serie,"193,704",8.6,"Doctor Who,Mr. Bean,Gravity Falls,The Sarah Jane Adventures,Adventure Time,Avatar: The Last Airbender,Batman: The Animated Series",Doctor Who             
"
                    Years following the events of ",Mike Flanagan,"Stephen King,Mike Flanagan",Drama,"
                        2h 32min
                    ",Movie,"103,594",7.4,"The Shining,It Chapter Two,It,Us,Hereditary,The Invisible Man,A Quiet Place,Zombieland: Double Tap,Terminator: Dark Fate,Ready or Not,Midsommar,The Conjuring",Doctor Sleep 
"
                    Explores the high-pressure experiences of the first responders who are thrust into the most frightening, shocking and heart-stopping situations.
            ",Brad Falchuk,"Angela Bassett,Aisha Hinds,Kenneth Choi,See full cast & crew",Action,"
                        43min
                    ",Serie,"18,253",7.7,"9-1-1: Lone Star,The Resident,Station 19,Chicago Med,FBI,New Amsterdam,Chicago P.D.,Chicago Fire,S.W.A.T.,The Rookie,FBI: Most Wanted,Bull",9-1-1             
"
                    A low-level Cabinet member becomes President of the United States after a catastrophic attack kills everyone above him in the line of succession.
            ",David Guggenheim,"Kiefer Sutherland,Adan Canto,Italia Ricci,See full cast & crew",Action,"
                        1h
                    ",Serie,"70,326",7.5,"Shooter,24,Bodyguard,Suits,House of Cards,24: Legacy,The Blacklist,Tom Clancy's Jack Ryan,24: Live Another Day,Arrow,Orange Is the New Black,Homeland",Designated Survivor             
"
                    Explorer Sir Malcolm Murray, American gunslinger Ethan Chandler, scientist Victor Frankenstein and medium Vanessa Ives unite to combat supernatural threats in Victorian London.
            ",John Logan,"Josh Hartnett,Timothy Dalton,Eva Green,See full cast & crew",Drama,"
                        1h
                    ",Serie,"107,607",8.2,"Penny Dreadful: City of Angels,Hemlock Grove,The Strain,True Blood,Sleepy Hollow,Salem,American Horror Story,The Haunting of Hill House,Hannibal,Preacher,Black Sails,Taboo",Penny Dreadful             
"
                    In 1980s Italy, romance blossoms between a seventeen-year-old student and the older man hired as his father's research assistant.
            ",Luca Guadagnino,"James Ivory,André Aciman",Drama,"
                        2h 12min
                    ",Movie,"191,801",7.9,"Lady Bird,Beautiful Boy,La La Land,The Perks of Being a Wallflower,Little Women,Love, Simon,Titanic,Moonlight,The Shape of Water,Her,Marriage Story,Black Swan",Call Me by Your Name 
"
                    Based on the true story of ",Martin Scorsese,"Terence Winter,Jordan Belfort",Biography,"
                        3h
                    ",Movie,"1,117,953",8.2,"Shutter Island,Django Unchained,Catch Me If You Can,Inglourious Basterds,Fight Club,Pulp Fiction,Inception,The Departed,The Dark Knight Rises,Kill Bill: Vol. 1,Reservoir Dogs,Se7en",The Wolf of Wall Street 
"
                    A family of power-hungry thousand year old vampires look to take back the city that they built and dominate all those who have done them wrong.
            ",Julie Plec,"Joseph Morgan,Daniel Gillies,Claire Holt,See full cast & crew",Drama,"
                        45min
                    ",Serie,"111,514",8.2,"The Vampire Diaries,Legacies,Teen Wolf,Pretty Little Liars,Shadowhunters,Gossip Girl,Chilling Adventures of Sabrina,The Secret Circle,The 100,Riverdale,Lucifer,Arrow",The Originals             
"
                    When Diane Lockhart's life savings are lost, she must start from scratch at a new firm.
            ",Michelle King,"Christine Baranski,Cush Jumbo,Delroy Lindo,See full cast & crew",Crime,"
                        45min
                    ",Serie,"17,974",8.3,"The Good Wife,Scandal,Revenge,Billions,Desperate Housewives,Big Little Lies,Killing Eve,Suits,Mrs. America,The Resident,The Marvelous Mrs. Maisel,This Is Us",The Good Fight             
"
                    A group of women take on Fox News head ",Jay Roach,Charles Randolph,Biography,"
                        1h 49min
                    ",Movie,"59,766",6.8,"Judy,Little Women,Jojo Rabbit,Ford v Ferrari,Marriage Story,Richard Jewell,A Beautiful Day in the Neighborhood,Hustlers,Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn,Dark Waters,The Two Popes,I, Tonya",Bombshell 
"
                    Shaun Murphy, a young surgeon with autism and Savant syndrome, is recruited into the surgical unit of a prestigious hospital.
            ",David Shore,"Freddie Highmore,Antonia Thomas,Hill Harper,See full cast & crew",Drama,"
                        41min
                    ",Serie,"56,082",8.2,"The Resident,New Amsterdam,9-1-1,Chicago Med,Grey's Anatomy,House,Station 19,This Is Us,13 Reasons Why,Suits,9-1-1: Lone Star,S.W.A.T.",The Good Doctor             
"
                    In the vicinity of the liberated planet of Bajor, the Federation space station Deep Space Nine guards the opening of a stable wormhole to the far side of the galaxy.
            ",Rick Berman,"Avery Brooks,Rene Auberjonois,Cirroc Lofton,See full cast & crew",Action,"
                        45min
                    ",Serie,"49,261",7.9,"Star Trek: Voyager,Star Trek: The Next Generation,Star Trek: Enterprise,Star Trek: The Original Series,Star Trek: First Contact,Star Trek: Generations,Star Trek: Insurrection,Star Trek: Nemesis,Star Trek: Discovery,Star Trek VI: The Undiscovered Country,Star Trek IV: The Voyage Home,Star Trek III: The Search for Spock",Star Trek: Deep Space Nine             
"
                    Twenty-seven years after their first encounter with the terrifying Pennywise, the Losers Club have grown up and moved away, until a devastating phone call brings them back.
            ",Andy Muschietti,"Stephen King,Gary Dauberman",Drama,"
                        2h 49min
                    ",Movie,"177,930",6.6,"It,Us,The Conjuring,Get Out,It,A Quiet Place,Zombieland: Double Tap,The Conjuring 2,Split,Bird Box,The Cabin in the Woods,Doctor Sleep",It Chapter Two 
"
                    Forensic anthropologist Dr. Temperance ""Bones"" Brennan and cocky F.B.I. Special Agent Seeley Booth build a team to investigate murders. Quite often, there isn't more to examine than rotten flesh or mere bones.
            ",Hart Hanson,"Emily Deschanel,David Boreanaz,Michaela Conlin,See full cast & crew",Comedy,"
                        40min
                    ",Serie,"134,409",7.8,"Castle,CSI: NY,The Mentalist,CSI: Miami,Numb3rs,CSI: Crime Scene Investigation,White Collar,NCIS,Lie to Me,NCIS: Los Angeles,Elementary,Rizzoli & Isles",Bones             
"
                    An old man recalls his time painting houses for his friend, ",Martin Scorsese,"Steven Zaillian,Charles Brandt",Biography,"
                        3h 29min
                    ",Movie,"290,906",7.9,"Once Upon a Time... in Hollywood,Goodfellas,The Wolf of Wall Street,Ford v Ferrari,Django Unchained,Inglourious Basterds,Pulp Fiction,Marriage Story,Uncut Gems,Joker,Inception,The Godfather: Part II",The Irishman 
"
                    Follows a locally born and bred S.W.A.T. sergeant and his team of highly-trained men and women as they solve crimes in Los Angeles.
            ",Shawn Ryan,"Shemar Moore,Alex Russell,Lina Esco,See full cast & crew",Action,"
                        43min
                    ",Serie,"12,269",7.0,"FBI,SEAL Team,Chicago P.D.,NCIS: Los Angeles,NCIS: New Orleans,9-1-1,Chicago Med,The Rookie,Chicago Fire,FBI: Most Wanted,Hawaii Five-0,Blue Bloods",S.W.A.T.             
"
                    U.S. Marshal Raylan Givens's reassigned from Miami to his childhood home in the poor, rural coal mining towns in eastern Kentucky.
            ",Graham Yost,"Timothy Olyphant,Nick Searcy,Joelle Carter,See full cast & crew",Action,"
                        44min
                    ",Serie,"82,059",8.6,"Deadwood,The Shield,Boardwalk Empire,Sons of Anarchy,Dexter,The Americans,Rome,Oz,Six Feet Under,Longmire,The Wire,The Sopranos",Justified             
"
                    A successful lawman's plans to retire anonymously in Tombstone, Arizona are disrupted by the kind of outlaws he was famous for eliminating.
            ",George P. Cosmatos,Kevin Jarre,Action,"
                        2h 10min
                    ",Movie,"121,120",7.8,"Wyatt Earp,Young Guns,Young Guns II,Open Range,The Outlaw Josey Wales,Silverado,Dances with Wolves,The Rock,3:10 to Yuma,Unforgiven,High Plains Drifter,Ransom",Tombstone 
"
                    Follows District 21 of the Chicago Police Department, which is made up of two distinctly different groups: the uniformed cops and the Intelligence Unit.
            ",Michael Brandt,"Jason Beghe,Jesse Lee Soffer,Patrick John Flueger,See full cast & crew",Action,"
                        43min
                    ",Serie,"25,714",8.1,"Chicago Fire,Chicago Med,FBI,S.W.A.T.,9-1-1,Law & Order: Special Victims Unit,Blue Bloods,NCIS: Los Angeles,Station 19,Chicago Justice,The Resident,NCIS",Chicago P.D.             
"
                    The story of firefighters in Chicago, both on a personal and professional level.
            ",Michael Brandt,"Jesse Spencer,Taylor Kinney,Christian Stolte,See full cast & crew",Action,"
                        43min
                    ",Serie,"33,357",7.9,"Chicago P.D.,Chicago Med,9-1-1,Station 19,S.W.A.T.,FBI,Chicago Justice,The Resident,New Amsterdam,9-1-1: Lone Star,Hawaii Five-0,NCIS: Los Angeles",Chicago Fire             
"
                    With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.
            ",Quentin Tarantino,Quentin Tarantino,Drama,"
                        2h 45min
                    ",Movie,"1,298,188",8.4,"Inglourious Basterds,Pulp Fiction,The Wolf of Wall Street,Inception,Fight Club,Reservoir Dogs,Se7en,The Dark Knight Rises,The Departed,Gladiator,The Matrix,The Dark Knight",Django Unchained 
"
                    As students at the United States Navy's elite fighter weapons school compete to be best in the class, one daring young pilot learns a few things from a civilian instructor that are not taught in the classroom.
            ",Tony Scott,"Jim Cash,Jack Epps Jr.,1 more credit",Action,"
                        1h 50min
                    ",Movie,"280,565",6.9,"Days of Thunder,Jerry Maguire,A Few Good Men,The Firm,Mission: Impossible,Mission: Impossible II,Rain Man,Mission: Impossible III,Minority Report,Far and Away,Vanilla Sky,Mission: Impossible - Ghost Protocol",Top Gun 
"
                    An elite unit of the LA County Sheriff's Dept. and the state's most successful bank robbery crew clash as the outlaws plan a seemingly impossible heist on the Federal Reserve Bank.
            ",Christian Gudegast,"Christian Gudegast,Christian Gudegast,1 more credit",Action,"
                        2h 20min
                    ",Movie,"85,384",7.0,"Bad Boys for Life,Avengers: Endgame,Jumanji: The Next Level,Bloodshot,Back to the Future,Contagion,Extraction,Hustlers,Star Wars: Episode IX - The Rise of Skywalker,Mad Max: Fury Road,The Shawshank Redemption,The Godfather",Den of Thieves 
"
                    Investigators are confounded over an unspeakable crime that's been committed.
            ",Richard Price,"Ben Mendelsohn,Bill Camp,Jeremy Bobb,See full cast & crew",Crime,"
                        1h
                    ",Serie,"47,568",7.9,"Sharp Objects,The Night Of,Devs,Succession,Castle Rock,Watchmen,The Stranger,Big Little Lies,The Sinner,True Detective,Chernobyl,Mindhunter",The Outsider             
"
                    Set in a future where consciousness is digitized and stored, a prisoner returns to life in a new body and must solve a mind-bending murder to win his freedom.
            ",Laeta Kalogridis,"Chris Conner,Renée Elise Goldsberry,Will Yun Lee,See full cast & crew",Action,"
                        1h
                    ",Serie,"132,579",8.1,"The Witcher,The Expanse,The Punisher,The Umbrella Academy,Altered Carbon: Resleeved,Black Mirror,Sense8,Love, Death & Robots,Jessica Jones,Daredevil,The Defenders,Westworld",Altered Carbon             
"
                    A housewife in 1958 decides to become a stand-up comic.
            ",Amy Sherman-Palladino,"Rachel Brosnahan,Alex Borstein,Michael Zegen,See full cast & crew",Comedy,"
                        57min
                    ",Serie,"68,265",8.7,"Fleabag,The Crown,Downton Abbey,Big Little Lies,This Is Us,The Boys,The Handmaid's Tale,Parks and Recreation,Killing Eve,Mindhunter,Mad Men,Modern Love",The Marvelous Mrs. Maisel             
"
                    Anthology series that examines how and why ordinary people commit brutal crimes.
            ",Derek Simonds,"Bill Pullman,Dohn Norwood,Adam LeFevre,See full cast & crew",Crime,"
                        45min
                    ",Serie,"73,737",8.0,"The Stranger,Unbelievable,Safe,Mindhunter,You,Bodyguard,Manhunt,The Killing,Broadchurch,Sharp Objects,The Haunting of Hill House,The Fall",The Sinner             
"
                    A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.
            ",Peter Jackson,"J.R.R. Tolkien,Fran Walsh,2 more credits",Action,"
                        2h 58min
                    ",Movie,"1,599,294",8.8,"The Lord of the Rings: The Two Towers,The Lord of the Rings: The Return of the King,The Matrix,The Dark Knight,Inception,Fight Club,Pulp Fiction,Star Wars: Episode V - The Empire Strikes Back,Forrest Gump,Gladiator,Saving Private Ryan,Se7en",The Lord of the Rings: The Fellowship of the Ring 
"
                    The lives, loves and losses of the doctors and nurses of Chicago's County General Hospital.
            ",Michael Crichton,"Anthony Edwards,George Clooney,Julianna Margulies,See full cast & crew",Drama,"
                        44min
                    ",Serie,"48,224",7.7,"Ally McBeal,Chicago Hope,Beverly Hills, 90210,Dawson's Creek,CSI: Crime Scene Investigation,Dharma & Greg,Mad About You,Law & Order,CSI: Miami,NYPD Blue,St. Elsewhere,Bones",ER             
"
                    The lives of the elite Navy SEALs as they train, plan and execute the most dangerous, high-stakes missions our country can ask.
            ",Benjamin Cavell,"David Boreanaz,Max Thieriot,Jessica Paré,See full cast & crew",Action,"
                        43min
                    ",Serie,"14,174",7.5,"S.W.A.T.,FBI,The Brave,Six,Chicago P.D.,FBI: Most Wanted,The Rookie,NCIS: Los Angeles,Strike Back,NCIS: New Orleans,Bull,The Unit",SEAL Team             
"
                    BoJack Horseman was the star of the hit television show ""Horsin' Around"" in the '80s and '90s, now he's washed up, living in Hollywood, complaining about everything, and wearing colorful sweaters.
            ",Raphael Bob-Waksberg,"Will Arnett,Amy Sedaris,Alison Brie,See full cast & crew",Animation,"
                        25min
                    ",Serie,"97,020",8.7,"Rick and Morty,Archer,South Park,The Simpsons,Arrested Development,Black Mirror,Big Mouth,Love, Death & Robots,Death Note,Stranger Things,Family Guy,Disenchantment",BoJack Horseman             
"
                    A trio of witches are trained to become powerful weapons for the American military.
            ",Eliot Laurence,"Taylor Hickson,Amalia Holm,Demetria McKinney,See full cast & crew",Drama,,Serie,"4,078",7.0,"Wynonna Earp,Utopia Falls,Carmilla,Playground,Batwoman,The Carmilla Movie,Vagrant Queen,Dare Me,Legacies,Alena,Killing Eve,DC's Legends of Tomorrow",Motherland: Fort Salem             
"
                    Half-brothers Lucas and Nathan Scott trade between kinship and rivalry both on the basketball court and in the hearts of their friends in the small, but not so quiet town of Tree Hill, North Carolina.
            ",Mark Schwahn,"Chad Michael Murray,James Lafferty,Hilarie Burton,See full cast & crew",Drama,"
                        1h
                    ",Serie,"69,431",7.6,"The O.C.,Gossip Girl,90210,Gilmore Girls,Pretty Little Liars,Hart of Dixie,The Vampire Diaries,Revenge,Dawson's Creek,Desperate Housewives,Gilmore Girls: A Year in the Life,Sex and the City",One Tree Hill             
"
                    Four people and their otherworldly frienemy struggle in the afterlife to define what it means to be good.
            ",Michael Schur,"Kristen Bell,William Jackson Harper,Jameela Jamil,See full cast & crew",Comedy,"
                        22min
                    ",Serie,"95,998",8.2,"Brooklyn Nine-Nine,Unbreakable Kimmy Schmidt,Russian Doll,Atypical,Sex Education,The End of the F***ing World,How I Met Your Mother,The Umbrella Academy,Parks and Recreation,Good Girls,Gossip Girl,You",The Good Place             
"
                    Based on the stories of Stephen King, the series intertwines characters and themes from the fictional town of Castle Rock.
            ",Sam Shaw,"Bill Skarsgård,André Holland,Melanie Lynskey,See full cast & crew",Drama,"
                        1h
                    ",Serie,"34,660",7.6,"Mr. Mercedes,The Outsider,The Haunting of Hill House,Sharp Objects,Servant,11.22.63,American Horror Story,The Terror,American Gods,Evil,The Sinner,Hemlock Grove",Castle Rock             
"
                    American car designer ",James Mangold,"Jez Butterworth,John-Henry Butterworth,1 more credit",Action,"
                        2h 32min
                    ",Movie,"217,835",8.1,"1917,Joker,Avengers: Infinity War,Django Unchained,The Wolf of Wall Street,Green Book,Parasite,The Irishman,Logan,Interstellar,The Dark Knight Rises,Catch Me If You Can",Ford v Ferrari 
"
                    Avatar Korra fights to keep Republic City safe from the evil forces of both the physical and spiritual worlds.
            ",Michael Dante DiMartino,"Janet Varney,P.J. Byrne,David Faustino,See full cast & crew",Animation,"
                        23min
                    ",Serie,"92,306",8.4,"Avatar: The Last Airbender,Gravity Falls,The Dragon Prince,Adventure Time,Over the Garden Wall,Steven Universe,The Amazing World of Gumball,Danny Phantom,The Powerpuff Girls,Batman: The Animated Series,SpongeBob SquarePants,Phineas and Ferb",The Legend of Korra             
"
                    Follow-up series to ",Kirsten Beyer,"Patrick Stewart,Alison Pill,Isa Briones,See full cast & crew",Action,"
                        46min
                    ",Serie,"34,035",7.6,"Star Trek: Discovery,Star Trek: The Next Generation,Star Trek: Voyager,Star Trek: Enterprise,Star Trek: Deep Space Nine,Star Trek: The Original Series,Star Trek: First Contact,Star Trek: Nemesis,Star Trek: Short Treks,The Expanse,Star Trek: Generations,The Orville",Star Trek: Picard             
"
                    A dangerously charming, intensely obsessive young man goes to extreme measures to insert himself into the lives of those he is transfixed by.
            ",Sera Gamble,"Penn Badgley,Ambyr Childers,Victoria Pedretti,See full cast & crew",Crime,"
                        45min
                    ",Serie,"123,612",7.8,"Sex Education,The End of the F***ing World,Elite,13 Reasons Why,Gossip Girl,I Am Not Okay with This,Stranger Things,Orange Is the New Black,Pretty Little Liars,Chilling Adventures of Sabrina,Black Mirror,Atypical",You             
"
                    Two F.B.I. Agents, Fox Mulder the believer and Dana Scully the skeptic, investigate the strange and unexplained, while hidden forces work to impede their efforts.
            ",Chris Carter,"David Duchovny,Gillian Anderson,Mitch Pileggi,See full cast & crew",Crime,"
                        45min
                    ",Serie,"191,811",8.6,"The X Files,The Simpsons,The X Files: I Want to Believe,Twin Peaks,House,Battlestar Galactica,Star Trek: The Next Generation,Firefly,The Twilight Zone,Dexter,South Park,Battlestar Galactica",The X-Files             
"
                    An up-and-coming CIA analyst, Jack Ryan, is thrust into a dangerous field assignment as he uncovers a pattern in terrorist communication that launches him into the center of a dangerous gambit.
            ",Carlton Cuse,"John Krasinski,Wendell Pierce,John Hoogenakker,See full cast & crew",Action,"
                        1h
                    ",Serie,"79,994",8.1,"The Boys,Hanna,Bosch,The Man in the High Castle,Hunters,Treadstone,Goliath,The Expanse,Altered Carbon,Bodyguard,Sneaky Pete,The Punisher",Tom Clancy's Jack Ryan             
"
                    A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.
            ",Ridley Scott,"David Franzoni,David Franzoni,2 more credits",Action,"
                        2h 35min
                    ",Movie,"1,290,648",8.5,"Saving Private Ryan,The Matrix,The Green Mile,The Lord of the Rings: The Return of the King,The Silence of the Lambs,The Lord of the Rings: The Fellowship of the Ring,Se7en,The Lord of the Rings: The Two Towers,The Departed,Fight Club,Forrest Gump,Django Unchained",Gladiator 
"
                    Quirky police detective, in Finland, delves into his mind palace to solve despicable crimes all the while trying to keep his family together. If Sherlock was based in Finland this would be it.
            ",Miikko Oikkonen,"Ville Virtanen,Matleena Kuusniemi,Anu Sinisalo,See full cast & crew",Crime,"
                        1h
                    ",Serie,"5,679",7.6,"Deadwind,The Break,The Valhalla Murders,Borderliner,Ófærð,Black Spot,La forêt,Hinterland,Glacé,Case,La Mante,Marcella",Bordertown             
"
                    A sled dog struggles for survival in the wilds of the Yukon.
            ",Chris Sanders,"Michael Green,Jack London",Adventure,"
                        1h 40min
                    ",Movie,"22,637",6.8,"Sonic the Hedgehog,Dolittle,Togo,Onward,A Dog's Journey,The Lion King,My Spy,Trolls World Tour,Spies in Disguise,Eight Below,Lady and the Tramp,A League of Their Own",The Call of the Wild 
"
                    Revolves around a family of New York cops.
            ",Mitchell Burgess,"Donnie Wahlberg,Bridget Moynahan,Will Estes,See full cast & crew",Crime,"
                        43min
                    ",Serie,"30,925",7.6,"Chicago P.D.,Bull,NCIS: Los Angeles,Hawaii Five-0,S.W.A.T.,FBI,Chicago Med,NCIS: New Orleans,NCIS,Chicago Fire,9-1-1,The Rookie",Blue Bloods             
"
                    Telepathic waitress Sookie Stackhouse (Anna Paquin) encounters a strange new supernatural world when she meets the mysterious Bill Compton (Stephen Moyer), a southern Louisiana gentleman and vampire.
            ",Alan Ball,"Anna Paquin,Stephen Moyer,Sam Trammell,See full cast & crew",Drama,"
                        55min
                    ",Serie,"224,570",7.8,"Heroes,Buffy the Vampire Slayer,The Vampire Diaries,Weeds,Charmed,The Originals,Grimm,Angel,Penny Dreadful,Sleepy Hollow,Smallville,Hemlock Grove",True Blood             
"
                    An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.
            ",Martin Scorsese,"William Monahan,Alan Mak,1 more credit",Crime,"
                        2h 31min
                    ",Movie,"1,143,949",8.5,"Se7en,The Prestige,Goodfellas,Gladiator,Django Unchained,Fight Club,American History X,Saving Private Ryan,Pulp Fiction,The Wolf of Wall Street,Inception,The Usual Suspects",The Departed 
"
                    Succession follows a dysfunctional American global-media family.
            ",Jesse Armstrong,"Hiam Abbass,Nicholas Braun,Brian Cox,See full cast & crew",Drama,"
                        1h
                    ",Serie,"28,510",8.5,"Big Little Lies,Barry,Fleabag,The Newsroom,Mad Men,The Outsider,Mindhunter,House of Cards,Atlanta,Veep,True Detective,The Night Of",Succession             
"
                    When a hacker begins releasing students' secrets to the entire high school, the socially isolated but observant Sofía works to uncover his/her identity.
            ",Miguel García Moreno,"Ana Valeria Becerril,Michael Ronda,Yankel Stevan,See full cast & crew",Drama,,Serie,"1,183",7.1,"Blood & Water,Valeria,Never Have I Ever,White Lines,Into the Night,Summertime,Snowpiercer,The Half of It,Hollywood,Sweet Magnolias,History 101,Love 101",Control Z             
"
                    A grieving family is haunted by tragic and disturbing occurrences.
            ",Ari Aster,Ari Aster,Drama,"
                        2h 7min
                    ",Movie,"209,271",7.3,"Midsommar,The Witch,Get Out,Us,It,The Conjuring,The Cabin in the Woods,A Quiet Place,It Follows,The Babadook,Split,Sinister",Hereditary 
"
                    Adrian Monk is a brilliant San Francisco detective, whose obsessive compulsive disorder just happens to get in the way.
            ",Andy Breckman,"Tony Shalhoub,Jason Gray-Stanford,Ted Levine,See full cast & crew",Comedy,"
                        44min
                    ",Serie,"62,465",7.9,"Psych,Burn Notice,Bones,Castle,The Mentalist,Psych: The Movie,Numb3rs,Elementary,White Collar,Leverage,Chuck,House",Monk             
"
                    ",Spike Lee,"Charlie Wachtel,David Rabinowitz,3 more credits",Biography,"
                        2h 15min
                    ",Movie,"191,427",7.5,"Vice,The Favourite,Bohemian Rhapsody,First Man,If Beale Street Could Talk,Roma,A Star Is Born,Black Panther,I, Tonya,Birdman or (The Unexpected Virtue of Ignorance),Get Out,Green Book",BlacKkKlansman 
"
                    A group of ambitious misfits try to escape the harsh realities of high school by joining a glee club.
            ",Ian Brennan,"Lea Michele,Jane Lynch,Matthew Morrison,See full cast & crew",Comedy,"
                        44min
                    ",Serie,"131,514",6.7,"Gossip Girl,Pretty Little Liars,Scream Queens,Jane the Virgin,Orange Is the New Black,Gilmore Girls,Once Upon a Time,The Glee Project,New Girl,Teen Wolf,The Politician,American Horror Story",Glee             
"
                    After a serial killer imitates the plots of his novels, successful mystery novelist Richard ""Rick"" Castle receives permission from the Mayor of New York City to tag along with an NYPD homicide investigation team for research purposes.
            ",Andrew W. Marlowe,"Nathan Fillion,Stana Katic,Susan Sullivan,See full cast & crew",Comedy,"
                        43min
                    ",Serie,"136,944",8.1,"Bones,The Mentalist,White Collar,Lie to Me,Elementary,Rizzoli & Isles,NCIS: Los Angeles,NCIS,Burn Notice,Numb3rs,CSI: NY,The Rookie",Castle             
"
                    Adventurer James Keziah Delaney returns to London during the War of 1812 to rebuild his late father's shipping empire. However, both the government and his biggest competitor want his inheritance at any cost - even murder.
            ",Chips Hardy,"Tom Hardy,David Hayman,Jonathan Pryce,See full cast & crew",Drama,"
                        59min
                    ",Serie,"110,009",8.4,"Legend,True Detective,The Punisher,Black Sails,Peaky Blinders,Fargo,Locke,Child 44,Mindhunter,The Take,The Drop,Luther",Taboo             
"
                    An adaptation of Homer's great epic, the film follows the assault on Troy by the united Greek forces and chronicles the fates of the men involved.
            ",Wolfgang Petersen,"Homer,David Benioff",Drama,"
                        2h 43min
                    ",Movie,"474,959",7.2,"300,Mr. & Mrs. Smith,The Last Samurai,The Curious Case of Benjamin Button,300: Rise of an Empire,World War Z,I Am Legend,I, Robot,Fury,Kingdom of Heaven,Men in Black,Hancock",Troy 
